12067539-7;Anastasia Lopez;32
15007265-4;Andres Morales;26
8509454-8;Pablo Munoz;45
7752666-8;Ignacio Navarro;49
8015253-1;Alejandro Pacheco;51
9217890-0;Patricio Pimienta;39
9487280-4;Ignacio Rosas;42
12393241-2;Ignacio Rubio;33
11426761-9;Romina Perez;35
15690109-1;Francisco Ruiz;26
6092377-9;Alfonso San Martin;65
9023365-3;Manuel Toledo;38
10985778-5;Jesus Valdes;38
13314970-8;Abel Vazquez;30
7295601-k;Edison Munoz;60
5106360-0;Andrea Vega;71
8654231-5;Andres Zambrano;55
10105321-0;Antonio Almarza;31
13087677-3;Jorge alvarez;28
9184011-1;Laura Andrade;47
12028339-1;Jorge Argandona;29
10523653-0;Camila Avaria;40
12187197-1;Felipe avila;36
5935556-2;Aquiles Barriga;80
14350739-4;Eduardo Bello;29
6951420-0;Cora Benitez;68
11370775-5;Hugo Berger;31
11111756-k;Cristobal Borquez;34
